Type,Ticker,Field,Desc,Country,Region
Data,BZPIIPCY Index,PX_LAST,Brazil CPI ,Brazil ,Latam 
Data,BZGDYOY% Index,PX_LAST,Brazil GDP,Brazil ,Latam 
Data,BRLFUNRT Index,PX_LAST,Brazil Unemployment ,Brazil ,Latam 
Data,EHCABR Index,PX_LAST,Brazil Current Account ,Brazil ,Latam 
Data,CNPINSYO Index,PX_LAST,Chile CPI ,Chile ,Latam 
Data,CLGDPNA% Index,PX_LAST,Chile GDP,Chile ,Latam 
Data,CHUETOTL Index,PX_LAST,Chile Unemployment ,Chile ,Latam 
Data,EHCACL Index,PX_LAST,Chile Current Account ,Chile ,Latam 
Data,ARCPIYOY Index,PX_LAST,Argentina CPI ,Argentina ,Latam 
Data,ARGQPYOX Index,PX_LAST,Argentina GDP,Argentina ,Latam 
Data,ARUERATE Index,PX_LAST,Argentina Unemployment ,Argentina ,Latam 
Data,EHCAAR Index,PX_LAST,Argentina Current Account ,Argentina ,Latam 
Data,MXCPYOY Index,PX_LAST,Mexico CPI ,Mexico ,Latam 
Data,MXGCTOT Index,PX_LAST,Mexico GDP,Mexico ,Latam 
Data,MXUERATE Index,PX_LAST,Mexico Unemployment ,Mexico ,Latam 
Data,EHCAMX Index,PX_LAST,Mexico Current Account ,Mexico ,Latam 
Forecast ,ECGDBR,PX_LAST,Brazil GDP Forecast ,Brazil ,Latam 
Forecast ,ECPIBR,PX_LAST,Brazil CPI Forecast ,Brazil ,Latam 
Forecast ,ECUPBR,PX_LAST,Brazil Unemployment Forecast ,Brazil ,Latam 
Forecast ,ECCABR,PX_LAST,Brazil Current Account Forecast ,Brazil ,Latam 
Forecast ,ECGDMX,PX_LAST,Mexico GDP Forecast ,Mexico ,Latam 
Forecast ,ECPIMX,PX_LAST,Mexico CPI Forecast ,Mexico ,Latam 
Forecast ,ECUPMX,PX_LAST,Mexico Unemployment Forecast ,Mexico ,Latam 
Forecast ,ECCAMX,PX_LAST,Mexico Current Account Forecast ,Mexico ,Latam 
Forecast ,ECGDCL,PX_LAST,Chile GDP Forecast ,Chile ,Latam 
Forecast ,ECPICL,PX_LAST,Chile CPI Forecast ,Chile ,Latam 
Forecast ,ECUPCL,PX_LAST,Chile Unemployment Forecast ,Chile ,Latam 
Forecast ,ECCACL,PX_LAST,Chile Current Account Forecast ,Chile ,Latam 
Data,EHPIIN Index,PX_LAST,India CPI ,India,APAC 
Data,EHGDIN Index,PX_LAST,India GDP,India,APAC 
Data,EHUPINY Index,PX_LAST,India Unemployment ,India,APAC 
Data,EHCAINY Index,PX_LAST,India Current Account ,India,APAC 
Data,HPDDINDI Index,PX_LAST,India Debt to GDP,India,APAC 
Data,KOCPIYOY Index,PX_LAST,Korea CPI ,Korea,APAC 
Data,EHGDKRY Index,PX_LAST,Korea GDP,Korea,APAC 
Data,EHUPKRY Index,PX_LAST,Korea Unemployment ,Korea,APAC 
