Type,Ticker,Field,Desc,Country,Maturity,Region 
Bank Rate,BZSTSETA Index,PX_LAST,Bank Rate,Brazil,0,Latam 
Rate,GTBRL3M Corp,PX_LAST,3-month  ,Brazil,0.25,Latam 
Rate,GTBRL1YR Corp,PX_LAST,1-year  ,Brazil,1,Latam 
Rate,GTBRL2YR Corp,PX_LAST,2-year  ,Brazil,2,Latam 
Rate,GTBRL5YR Corp,PX_LAST,5-year  ,Brazil,5,Latam 
Rate,GTBRL10YR Corp,PX_LAST,10-year  ,Brazil,10,Latam 
Forward,G0393 5Y5Y BLC2 Curncy,PX_LAST,5y5y,Brazil,10,Latam 
Bank Rate,MXONBR Index,PX_LAST,Bank Rate,Mexico,0,Latam 
Rate,MPTBC CMPN Curncy,PX_LAST,3-month  ,Mexico,0.25,Latam 
Rate,GTMXN1Y Govt,PX_LAST,1-year  ,Mexico,1,Latam 
Rate,GTMXN2Y Govt,PX_LAST,2-year  ,Mexico,2,Latam 
Rate,GTMXN5Y Govt,PX_LAST,5-year  ,Mexico,5,Latam 
Rate,GTMXN10Y Govt,PX_LAST,10-year  ,Mexico,10,Latam 
Rate,GTMXN30Y Govt,PX_LAST,30-year  ,Mexico,30,Latam 
Forward,G0251 5Y5Y BLC2 Curncy,PX_LAST,5y5y,Mexico,10,Latam 
Bank Rate,CHOVCHOV Index,PX_LAST,Bank Rate,Chile,0,Latam 
Rate,GTCLP1Y Govt,PX_LAST,1-year  ,Chile,1,Latam 
Rate,GTCLP2Y Govt,PX_LAST,2-year  ,Chile,2,Latam 
Rate,GTCLP4YR Corp,PX_LAST,5-year  ,Chile,5,Latam 
Rate,GTCLP10Y Govt,PX_LAST,10-year  ,Chile,10,Latam 
Forward,.CHIL5Y5Y F Index,PX_LAST,5y5y,Chile,10,Latam 
Rate,GTCLP30Y Govt,PX_LAST,30-year  ,Chile,30,Latam 
Breakeven,BRGGBE02 Index,PX_LAST,2-year BE,Brazil,2,Latam 
Breakeven,BRGGBE05 Index,PX_LAST,5-year BE,Brazil,5,Latam 
Breakeven,BRGGBE10 Index,PX_LAST,10-year BE,Brazil,10,Latam 
Breakeven,BRGGBE30 Index,PX_LAST,30-year BE,Brazil,30,Latam 
Breakeven,MXGGBE02 Index,PX_LAST,2-year BE,Mexico,2,Latam 
Breakeven,MXGGBE05 Index,PX_LAST,10-year BE,Mexico,10,Latam 
Breakeven,MXGGBE30 Index,PX_LAST,30-year BE,Mexico,30,Latam 
Breakeven,.CLBE05Y G Index,PX_LAST,5-year BE,Chile,5,Latam 
Breakeven,.CLBE10Y G Index,PX_LAST,10-year BE ,Chile,10,Latam 
Summary ,BRLDBLTN Index,PX_LAST,Debt Outstanding ,Brazil ,0,Latam 
Summary ,ECOQMXN Index,PX_LAST,Debt Outstanding ,Mexico,0,Latam 
