Type,Category ,Ticker,Field,Desc,Country,Region 
Funding,Money Markets ,MSCEEMFS Index,PX_LAST,MS EM Funding Stress Index,All,All
Funding,Money Markets ,.EMSTRESS F Index,PX_LAST,BoE EM funding stress index,All,All
Funding,Money Markets ,.EMFXRSV G Index,PX_LAST,EM10 FX reserves,All,All
Flows,Equities ,.EMEETF G Index,PX_LAST,EM debt fund flows ,All,All
Flows,Debt,.EMLETF G Index,PX_LAST,EM equity fund flows ,All,All
Flows,All,.EMFLOWS G Index,PX_LAST,EM combined fund flows ,All,All
Returns,Debt,EMGB Index,PX_LAST,BofA EM External Debt Sovereign Index,All,All
Returns,Debt,LOCL Index,PX_LAST,BofA EM Local Debt Sovereign Index,All,All
Returns,Equities ,MXEF Index,PX_LAST,MSCI EM Equity Index,All,All
Returns,FX,MXEF0CX0 Index,PX_LAST,MSCI EM Currency Index,All,All
Returns,Equities ,MXLA Index,PX_LAST,MSCI EM Latin America Index,All,Latam
Returns,Debt,.BRAZIL10 F Index,PX_LAST,Brazil 10-year spread to UST,Brazil ,Latam
Returns,Debt,.MEXICO10 F Index,PX_LAST,Mexico 10-year spread to UST,Mexico ,Latam
Returns,Debt,.CHILE10 F Index,PX_LAST,Chile 10-year spread to UST,Mexico ,Latam
Returns,Debt,.EMCI10RY G Index,PX_LAST,EM10 Real Yield 10-Year,All,All
Returns,Debt,.EMCI3MY G Index,PX_LAST,EM 3-Month Implied Yield,All,All
Returns,Debt,.EMFX8IY G Index,PX_LAST,EMFX top-8 yield spread over USD,All,All
Returns,Equities ,.EMAVGRT G Index,PX_LAST,EM Asset Average Return,All,All
Returns,Debt,.EM10RY G Index,PX_LAST,EM 10-Year Real Yield,All,All
Volatility,FX,.EMG7VOL G Index,PX_LAST,EM/G7 FX vol ratio,,
Volatility,Debt,.EMIMPVOL G Index,PX_LAST,EM implied vol ,All,All
